state_fips,state,year,real_gdp_per_capita,real_personal_income_per_capita_2017,real_output_per_job,real_average_wages_salaries_2017,manufacturing_share,professional_business_share,healthcare_share,natural_resources_agriculture_share,manufacturing_share_imputed,natural_resources_share_imputed,period
39,Ohio,2015,54243.709132509815,45296.374859187315,92285.18758698076,49597.560343772806,13.046534490205442,13.784176443727057,16.301097894986487,0.5651990092756313,False,False,Baseline_2015_2019
39,Ohio,2016,54532.40433505942,45523.58422879333,92068.57618049528,49578.159303686974,12.878446237075583,13.760924296372018,16.40738097167141,0.516252954360592,False,False,Baseline_2015_2019
39,Ohio,2017,55562.257458898945,46114.0,93331.67998669691,50088.0,12.786576361520822,13.682053511279259,16.4192806730609,0.5126732040593324,False,False,Baseline_2015_2019
39,Ohio,2018,55785.61576944317,46680.83135874348,92850.81600253559,50224.28335331154,12.92959846952149,13.667478682052598,16.43061245593002,0.5275911038531853,False,False,Baseline_2015_2019
39,Ohio,2019,57178.91716281358,47359.16638308358,95322.44497842579,50881.74108277888,12.883814101385607,13.680710496397365,16.49983306835079,0.524547777014615,False,False,Baseline_2015_2019
39,Ohio,2020,55577.25222472555,50056.15000907999,95681.03912688968,53910.84861153506,12.745271203784247,13.782164567592554,16.837006835010257,0.5043359700001971,False,False,Shock_2020_2022
39,Ohio,2021,58804.85923368417,52048.08443739159,98130.66078400103,53893.47248772926,12.688142368499745,13.896038625540344,16.4753184314292,0.4893755178066402,False,False,Shock_2020_2022
39,Ohio,2022,59029.014147956426,48830.52057883857,96239.19675371163,51953.83123473032,12.668350699067538,14.01020507316306,16.08552590099195,0.49582651227271685,False,False,Shock_2020_2022
39,Ohio,2023,59957.04748911579,49733.21028414648,96090.03739116863,51656.66966413086,12.542876094769468,13.74027720625872,16.419840384231122,0.5072412858676998,False,False,Post_Shock_2023_2024
39,Ohio,2024,60873.48208833247,50468.985013819416,97119.44269911275,52400.63272859424,12.358169029187836,13.428965688135612,16.919221194003033,0.5128376048063853,False,False,Post_Shock_2023_2024
40,Oklahoma,2015,49678.945884283115,45792.78482134193,84705.56044615047,46654.26294316441,8.678359183217681,11.946153445616122,13.51195192504945,4.042569342369657,False,False,Baseline_2015_2019
40,Oklahoma,2016,48534.24628155217,42948.877991058594,83114.39091158312,45771.76099030445,8.263249867701198,11.82002540644603,13.846132369868107,3.486723799443901,False,False,Baseline_2015_2019
40,Oklahoma,2017,49113.03068426117,43873.0,84006.67730101608,46104.0,8.204285611289668,12.065598362760388,13.85512756783148,3.7133869382582065,False,False,Baseline_2015_2019
40,Oklahoma,2018,49901.21859671604,44932.53314324173,84778.70793997736,46623.238061862074,8.687535299806274,12.218045229832486,13.638693133452104,3.9865818703308515,False,False,Baseline_2015_2019
40,Oklahoma,2019,50731.757040991935,46191.3667139957,86634.63208074552,47044.68502720442,8.791054327280529,12.28692192264395,13.782984332249525,3.500922901647167,False,False,Baseline_2015_2019
40,Oklahoma,2020,48263.62470093258,47348.389983424204,84476.48521461769,47970.63494210061,8.577393575325823,12.246700468969859,14.22167713015478,2.6272376713959353,False,False,Shock_2020_2022
40,Oklahoma,2021,48836.19351025356,49367.74875447466,84361.85166613523,47658.95560394139,8.296235311632925,12.535176050446099,14.008005156078912,2.392766728784778,False,False,Shock_2020_2022
40,Oklahoma,2022,48237.2984853156,48519.78090242778,81562.41047582963,46159.49947890862,8.301654558266483,12.881245365113653,13.942107384739415,2.495284339699859,False,False,Shock_2020_2022
40,Oklahoma,2023,50969.03155426074,48968.17060603475,84506.12086988708,46362.53073494759,8.413400577058342,12.805575359704484,14.302469962821366,2.457761339005029,False,False,Post_Shock_2023_2024
40,Oklahoma,2024,51324.62678371929,49753.21264054525,84979.28003788424,46857.30389015872,8.411753896803324,12.530332760799704,14.733316907703916,2.36978109599126,False,False,Post_Shock_2023_2024
41,Oregon,2015,51159.438719328056,45675.92164275136,85975.07756633862,50856.166435318984,10.375752910096129,13.087963620861162,14.426949118215417,3.048006096012192,False,False,Baseline_2015_2019
41,Oregon,2016,52470.22780659954,46435.60829475807,87646.98680618187,51490.039540513404,10.194233825889224,13.264894827131025,14.555586096604113,2.9449598397283028,False,False,Baseline_2015_2019
41,Oregon,2017,54382.73464007151,47566.0,89640.60213371617,51990.0,10.051890005718361,13.213872519322695,14.565465669395941,2.971423595643427,False,False,Baseline_2015_2019
41,Oregon,2018,56009.08639340555,49011.89564607916,91168.09704330895,52608.06014965732,10.136015959983423,13.226076163939684,14.558382843850804,2.9697460021949142,False,False,Baseline_2015_2019
41,Oregon,2019,56877.87760744352,50038.96940040758,92979.21881028223,53719.743562664036,10.116679728912748,13.265696323510968,14.675497461692467,2.9997947239446585,False,False,Baseline_2015_2019
41,Oregon,2020,55767.39630836867,53665.54960956065,94891.60207272667,57704.932788791826,10.072224933123044,13.482513963559684,15.63864224532297,3.1790516107107694,False,False,Shock_2020_2022
41,Oregon,2021,58974.88207721783,56670.600583090374,98054.88449667719,58691.48141860722,9.907923276485349,13.646652915408497,15.367509462850338,3.1174775656020075,False,False,Shock_2020_2022
41,Oregon,2022,59877.45068022244,53345.87797919052,97100.29186899276,56738.04964890401,9.857933312623604,13.83825086862958,14.940480035104015,2.995221383922484,False,False,Shock_2020_2022
41,Oregon,2023,60705.78901898931,54315.40377155385,96139.34917327658,56003.961378658496,9.541502612298672,13.69830087445378,15.487134617608753,2.9184832073697495,False,False,Post_Shock_2023_2024
41,Oregon,2024,61741.546480408055,55433.288384355204,97283.10498909504,56628.06563188381,9.327932900101848,13.388337250603136,16.348328946358894,2.965758532034274,False,False,Post_Shock_2023_2024
42,Pennsylvania,2015,56914.13919764909,50976.132176173014,97751.25996309887,52823.190910356636,9.981265416323984,13.847726470510205,17.47841956225766,1.0075878314284545,False,False,Baseline_2015_2019
