state_fips,state,period,real_gdp_per_capita_growth,real_income_per_capita_growth,total_employment_growth,real_average_wage_growth
15,Hawaii,Post_Shock_2023_2024,2.578440456600739,2.7106446144292695,1.7860487626084498,1.2365144862325539
15,Hawaii,Shock_2020_2022,0.1947132849860811,0.9019278617423465,-0.39023403222415354,0.5419010905209539
16,Idaho,Baseline_2015_2019,2.4428097656982284,2.3228085869798356,2.8772473274467303,1.1502362524349052
16,Idaho,Post_Shock_2023_2024,2.0792455905559337,0.9600623957306986,2.1382628201147558,1.3907055465988916
16,Idaho,Shock_2020_2022,2.1188046521856463,2.967638866838859,3.5351561710255184,2.5126051471889883
17,Illinois,Baseline_2015_2019,1.198807624992787,1.378661401582898,0.3548619101766848,0.5327891719686784
17,Illinois,Post_Shock_2023_2024,1.1166801180439556,1.0621139370792565,1.3957985132969308,-0.4615488028928971
17,Illinois,Shock_2020_2022,1.3251811390381565,1.1257855880253296,0.6223167509420607,1.080953229149062
18,Indiana,Baseline_2015_2019,1.5806912938493483,1.511203402221395,1.1218917625612057,0.6743334437782134
18,Indiana,Post_Shock_2023_2024,1.63723981090802,0.8430954296108073,1.3769807837150982,0.31395704685319714
18,Indiana,Shock_2020_2022,1.715940986985302,2.174653445513789,1.1417715967547222,1.3914520320142991
19,Iowa,Baseline_2015_2019,-0.04297662907524202,0.3383181150678455,0.1396813787907708,0.6823165925842978
19,Iowa,Post_Shock_2023_2024,0.48943439861096616,-0.12597392364335214,0.9236287338981408,0.17713445952398654
19,Iowa,Shock_2020_2022,2.3322059271978683,2.563428236905411,0.38048987091610087,1.0433422867001145
20,Kansas,Baseline_2015_2019,1.598408058066536,0.9357608021800246,0.16971281488636636,0.3274687675938581
20,Kansas,Post_Shock_2023_2024,0.605489549370819,-0.2440535934981336,1.531994458296826,0.46586565864483176
20,Kansas,Shock_2020_2022,1.5733233209256643,1.2439920676622696,0.5574345055756935,0.5812678656659095
21,Kentucky,Baseline_2015_2019,1.2016579986444509,0.9768717631273516,0.7541305140841448,0.47338333579825254
21,Kentucky,Post_Shock_2023_2024,1.6113347976692172,1.6909362098075142,1.689025683262646,0.5733888689509525
21,Kentucky,Shock_2020_2022,1.2447856153130006,2.0474172727015385,1.1703229778103303,0.8036554313642807
22,Louisiana,Baseline_2015_2019,0.7790383784001681,0.6559226466547718,0.19316970332839134,-0.01124529831426635
22,Louisiana,Post_Shock_2023_2024,3.327031037905459,2.0011524382738455,1.5200536035743895,0.5977214234091033
22,Louisiana,Shock_2020_2022,-0.2261743934212673,1.0775494484284127,0.6602050842116179,-0.07726882399123891
23,Maine,Baseline_2015_2019,2.0530876780872678,1.9246558634541278,0.7818246838680015,0.9938845401188834
23,Maine,Post_Shock_2023_2024,2.6699887790868626,2.0622073238678595,2.0243487064427357,0.586392295961885
23,Maine,Shock_2020_2022,2.1350925900762707,2.598284917741256,1.0454825654120259,2.692074005990382
24,Maryland,Baseline_2015_2019,1.0701693563075794,0.981658601333657,0.9711621682405441,0.5083659503517246
24,Maryland,Post_Shock_2023_2024,1.9365141194784163,2.28080260903335,2.363118959572952,0.033812965058127586
24,Maryland,Shock_2020_2022,0.7851130060290701,0.18630378976735398,1.1502767103229024,0.6075107254827182
25,Massachusetts,Baseline_2015_2019,1.8865566112403143,2.189634083604558,1.280403868823965,1.1747727491432935
25,Massachusetts,Post_Shock_2023_2024,0.9310963559801766,1.1036061180620171,1.2188861141090301,-0.11421725331359212
25,Massachusetts,Shock_2020_2022,2.365929160278113,1.149216206445236,0.5343087064722049,1.6030261415321343
26,Michigan,Baseline_2015_2019,1.2902760744617325,1.1741378544322,0.951129631599712,0.5381988557083439
26,Michigan,Post_Shock_2023_2024,1.7703765554649031,1.3732251869781775,1.5158833955044693,-0.059571093600691016
26,Michigan,Shock_2020_2022,1.3665933043602936,1.5976959001843483,0.6248822996435107,0.6517792348396519
27,Minnesota,Baseline_2015_2019,0.9089598365307372,1.1172450300298147,0.8095239868580684,0.8953344003730601
27,Minnesota,Post_Shock_2023_2024,1.0994135047459386,0.7283824374202608,1.581494793571081,-0.22506786829250003
27,Minnesota,Shock_2020_2022,1.278914840390714,1.69063522336144,0.20694635786870563,0.7602665155538794
28,Mississippi,Baseline_2015_2019,0.5457453404089319,0.8387288599600806,0.6111915072743335,0.247940767238794
28,Mississippi,Post_Shock_2023_2024,3.12542614596949,1.5516396907346075,1.3393972742538063,-0.03690983854496843
28,Mississippi,Shock_2020_2022,1.6703778781889298,1.82355238329327,1.2417635859928722,0.5726479506408441
29,Missouri,Baseline_2015_2019,0.7931225146711962,1.2769818223229645,0.8289731144270507,0.6241444960499748
29,Missouri,Post_Shock_2023_2024,1.830333912731441,1.746170315300133,1.6451731951540038,0.503372149401482
29,Missouri,Shock_2020_2022,1.4587963291491033,1.9439486542805733,0.9134308077139922,0.9098123875460348
30,Montana,Baseline_2015_2019,0.3158215536744724,1.6746302031871885,0.9345589575937396,0.9067080973158004
30,Montana,Post_Shock_2023_2024,3.4765631387906337,1.963030137720212,1.8532042912317137,1.4607499942288937
30,Montana,Shock_2020_2022,2.146209302711185,3.093439138399638,2.4745483471343346,2.0677702244009257
31,Nebraska,Baseline_2015_2019,0.9587931281020201,-0.02658026952404302,0.4869230708205413,0.9925767433839772
31,Nebraska,Post_Shock_2023_2024,2.073886759859145,1.1276564016555357,1.7736192101452386,-0.2679020601036808
31,Nebraska,Shock_2020_2022,2.858120214511073,2.8001966604684125,0.7375041906000098,1.2018856383210836
32,Nevada,Baseline_2015_2019,2.0519070847494048,2.403480118874862,3.1483075211918954,0.7264242913423841
32,Nevada,Post_Shock_2023_2024,2.0499653516649285,2.1363323233657527,2.589119961209041,0.48330878540910893
32,Nevada,Shock_2020_2022,2.4219464287899712,1.9031517339078599,2.952041763179484,1.715855701039785
33,New Hampshire,Baseline_2015_2019,1.0546196793765588,2.2903823694890524,0.8462212975085315,0.9045128122217916
33,New Hampshire,Post_Shock_2023_2024,1.3139752384352388,1.5229141657859047,1.715689446036306,-0.05433559081113315
33,New Hampshire,Shock_2020_2022,2.2408102441885442,1.077623045228034,1.111364083997927,2.7746880465118493
34,New Jersey,Baseline_2015_2019,1.072333415782098,1.750087211630702,1.2424606697133356,0.09888944657941989
34,New Jersey,Post_Shock_2023_2024,0.9668320587933765,1.1168732730262199,1.6574559933074218,-0.4917494580586823
34,New Jersey,Shock_2020_2022,1.5066411405004423,0.15479106527701939,1.883812084579728,0.8356220588352908
35,New Mexico,Baseline_2015_2019,1.628481850362612,1.5123815304632555,0.5496805677027983,0.7299303124643441
35,New Mexico,Post_Shock_2023_2024,6.55981041015351,1.2120445628035714,2.2859791538132335,1.1636185805495969
35,New Mexico,Shock_2020_2022,1.2668142658590547,2.494504008437063,0.49709987349799345,0.9118654575737017
36,New York,Baseline_2015_2019,1.974112194817157,2.149484821747211,1.3106042609192958,0.9111645295250631
36,New York,Post_Shock_2023_2024,0.8951863072320432,1.1909742180325034,1.9987416374079303,-0.23549921222683623
36,New York,Shock_2020_2022,2.4055976831063197,0.7079001511046789,0.2662544552294606,1.4313613528060964
37,North Carolina,Baseline_2015_2019,0.9592212626294949,1.8801748275510954,1.9361112588065388,1.1251955407182823
37,North Carolina,Post_Shock_2023_2024,1.808996397189877,1.7449454396800679,2.050113693310107,0.4951430479961605
37,North Carolina,Shock_2020_2022,1.9463879193876341,2.3166547611506085,2.2849749148017406,1.9754737615438556
38,North Dakota,Baseline_2015_2019,-0.05856773218408651,-0.16575721747765515,-0.6743293398547623,-0.15340751120510032
38,North Dakota,Post_Shock_2023_2024,4.582354446362736,-2.768412390176583,1.991003575925454,0.9862242943084909
38,North Dakota,Shock_2020_2022,-1.4674577402496187,3.139072257263816,0.03985444677728397,-0.9838279982184747
39,Ohio,Baseline_2015_2019,1.3300827173733543,1.120220176630804,0.7546698507563065,0.6425929716120299
39,Ohio,Post_Shock_2023_2024,1.5503249668772812,1.6640306429860807,1.501061050225172,0.43411739366842617
39,Ohio,Shock_2020_2022,1.129154315424789,1.164079438630494,0.713980684506695,0.7739905033149955
40,Oklahoma,Baseline_2015_2019,0.5393857651364214,0.28947646244544556,0.2353371485984218,0.21611395951116052
40,Oklahoma,Post_Shock_2023_2024,3.180391455141296,1.2636529629043936,1.965185492639443,0.7535152065959894
40,Oklahoma,Shock_2020_2022,-1.6350206803975365,1.6840287382481887,1.0405958567560918,-0.6092385484125088
41,Oregon,Baseline_2015_2019,2.6872073520155473,2.3082146305074214,1.912711647088311,1.37983425508032
41,Oregon,Post_Shock_2023_2024,1.544790847567279,1.93778444451993,1.6835354875052722,-0.08971350706187264
41,Oregon,Shock_2020_2022,1.7765253371855527,2.326783985920692,0.5424259408750132,1.9332731771905458
42,Pennsylvania,Baseline_2015_2019,1.0796593616437034,1.3714430686033618,0.860966998350543,0.5896524198365005
42,Pennsylvania,Post_Shock_2023_2024,1.446768368798701,0.7846862853645109,1.526877710567165,-0.21918953593978996
