state_fips,state,period,real_gdp_per_capita,real_personal_income_per_capita_2017,real_output_per_job,real_average_wages_salaries_2017,manufacturing_share,professional_business_share,healthcare_share,natural_resources_agriculture_share
22,Louisiana,Baseline_2015_2019,51644.51477583097,43982.04849380137,89241.0868902979,48078.42881813707,7.168245457935638,11.318745751688741,15.77181184098983,2.395889479869556
22,Louisiana,Post_Shock_2023_2024,54917.693247110234,47768.43303860215,89526.31892604387,48643.72737671009,7.337672390677083,11.874812691300534,16.99551237641085,1.9119367431682128
22,Louisiana,Shock_2020_2022,51028.0291918967,47898.71919461203,87959.76984375826,49391.454836543824,7.231268998251572,11.960947789947985,16.732928359395515,2.041518427682609
23,Maine,Baseline_2015_2019,47125.519458002345,46000.45426057324,76152.62384565067,45122.87307064876,9.34954171579395,11.163297294028286,18.023737963113355,1.1324688383431283
23,Maine,Post_Shock_2023_2024,54535.51878887521,53146.90944523885,85332.26682241773,50024.11166486179,9.161040565117112,12.333041828531886,17.688929497516625,1.4084503113039992
23,Maine,Shock_2020_2022,51228.9011955135,52252.23528247315,83741.43321667968,50229.206714198175,9.746308019338814,12.133782210835923,17.798522703145668,1.3975894539678484
24,Maryland,Baseline_2015_2019,64660.57668833075,58127.17098136873,107019.59643645798,61267.16269274085,4.045904202014424,17.124403161277286,14.443594782709194,0.2486522798754704
24,Maryland,Post_Shock_2023_2024,68563.5064198307,61473.78358764994,106159.00678252053,62639.710098469164,4.146545200047196,17.825238827467025,14.720006523462928,0.27357237451294847
24,Maryland,Shock_2020_2022,65218.717744110945,61154.65356422283,107556.30911463559,65204.15574685495,4.290017099502232,18.041100199271227,14.489173623677337,0.2807481324444378
25,Massachusetts,Baseline_2015_2019,77165.28722940353,66295.22588120343,112424.64251097346,68677.6291920478,6.950861600787339,16.172430433278258,18.15813174236534,0.2642644442228693
25,Massachusetts,Post_Shock_2023_2024,87498.70184604579,72704.5655301433,123034.89359624503,72872.78233174881,6.4324599317707145,17.4551942529913,18.161196396485913,0.3765147534733324
25,Massachusetts,Shock_2020_2022,84025.81897473118,73710.03998681107,123300.30463252524,76159.8044768367,6.760300334706227,17.735627276027557,18.355195868446856,0.3662722153437888
26,Michigan,Baseline_2015_2019,50467.95844632422,45455.13371810501,90043.23647316903,51943.43008678047,14.270960358276858,15.183699368712393,15.12235882815138,0.8476488259509297
26,Michigan,Post_Shock_2023_2024,55387.29623777744,49654.37920022769,93688.78117071197,53024.56047567102,13.81333699131954,14.823680880708956,15.303096555968207,0.9405439653142988
26,Michigan,Shock_2020_2022,52097.802196791476,50095.64831561869,93553.51329549494,54854.930738573596,14.062058324142527,15.277263709148777,15.294834806548634,0.8985006818925871
27,Minnesota,Baseline_2015_2019,63722.208283241154,54080.31306112637,95677.99488166622,55359.07644439813,11.241122991358234,13.168469129368711,17.035291498418893,0.9721415515454567
27,Minnesota,Post_Shock_2023_2024,68317.38834361616,58748.60981317246,101067.57251038922,57054.536243069466,11.070812283000128,13.119826049929173,17.889000542523533,1.0007028570292693
27,Minnesota,Shock_2020_2022,65396.50481073824,59192.61297342169,100872.8118063745,59025.42876524763,11.348369858414827,13.527482026468439,17.69495915049591,1.0278279965705703
28,Mississippi,Baseline_2015_2019,36987.57614042955,36706.37889248547,69295.36548643502,40017.702738843465,12.828077774749138,9.909267470252933,15.768341415199302,1.4767080712149683
28,Mississippi,Post_Shock_2023_2024,41215.59265189869,40276.29065497818,71133.09691009627,40739.63493840171,12.31075595869158,10.476825827034478,15.99582972403353,1.2390533662032228
28,Mississippi,Shock_2020_2022,38768.09561213001,40709.126824208906,70535.06646525502,41774.85800285806,12.917899965337247,10.543405815539101,15.743959569008647,1.2940065820100761
29,Missouri,Baseline_2015_2019,51157.04053590627,45134.56932324193,83827.30003970944,48647.6607549745,9.672989466759745,13.839790372635974,16.536231144498057,0.5948278998544975
29,Missouri,Post_Shock_2023_2024,56242.397135047926,50494.02989672641,87591.59586952432,51066.10662736352,9.901655056702236,13.210623448224634,17.001227364551227,0.6760269727405985
29,Missouri,Shock_2020_2022,53219.06707633153,49977.10440855064,86668.47169037201,51689.31377606898,9.948646471039442,13.772913066184792,16.767110937628686,0.6490641479251033
30,Montana,Baseline_2015_2019,46041.389003508106,45570.14201921967,72091.5698897208,42264.75105373042,4.3513639599640594,9.114212602360976,15.461874079533288,2.7086657482142154
30,Montana,Post_Shock_2023_2024,52555.868314138745,53680.64161949433,78153.69531388144,46584.086303909324,4.238784082234549,10.34620424213509,15.172242634352735,2.6206447021915507
30,Montana,Shock_2020_2022,48007.98183727568,52116.86772804519,74521.5688411375,46049.81830794085,4.454139201728133,9.89446335100176,15.409553964035501,2.674963863493328
