state_fips,state,period,PC1,PC2,PC3,PC4
49,Utah,Baseline_2015_2019,-1.3186535408264932,-1.1107323221768328,-1.7280899768529743,0.4252652720931174
50,Vermont,Baseline_2015_2019,-2.0930367489608597,0.6776890683698166,1.2522670270288974,-0.48130801982758287
51,Virginia,Baseline_2015_2019,1.3630309993895262,-1.844793201901958,-1.6897545101311966,-0.5714618299599545
53,Washington,Baseline_2015_2019,1.6319036662996784,1.3050093138566587,-0.4291153413136694,1.263606969132275
54,West Virginia,Baseline_2015_2019,-2.9066233415470113,1.7528204818522282,1.1141375437614423,-1.868762839476288
55,Wisconsin,Baseline_2015_2019,-1.7069676337990387,-0.7387415578135084,0.9560955594441448,1.5515523079458502
56,Wyoming,Baseline_2015_2019,-0.7730284348978884,3.984392959500024,-1.7888686936976785,1.1045768628212018
01,Alabama,Shock_2020_2022,-2.084417469187599,-1.2887626087592496,-0.01908398924436928,0.5634357920375145
02,Alaska,Shock_2020_2022,1.3004422961387705,2.951419747809106,-0.1606034672311181,0.21948650320323315
04,Arizona,Shock_2020_2022,0.10921325904442869,-0.49503378612955357,-0.9787888233952695,-0.7458168931302457
05,Arkansas,Shock_2020_2022,-2.3297317390831664,-0.5549995915510354,0.8582791519192678,-0.08016526917755375
06,California,Shock_2020_2022,4.0838386760522125,0.852935662853241,-0.14543164806618428,0.5603656048597118
08,Colorado,Shock_2020_2022,2.266486574260147,-0.1643790081541673,-1.5080396330376533,0.02438349332484367
09,Connecticut,Shock_2020_2022,3.566517313717039,0.04502599843492334,1.870540253129081,0.3567555012989203
10,Delaware,Shock_2020_2022,2.330597089767141,-0.159514445500566,0.636147026641512,-0.5668465798404269
12,Florida,Shock_2020_2022,0.2771553361038674,-0.8288887228499632,-1.3690025295305333,-1.2484303813919844
13,Georgia,Shock_2020_2022,0.30405148842501284,-1.5187699191131705,-1.3414480984837964,0.19711919741767728
15,Hawaii,Shock_2020_2022,0.415511902513684,0.2279212252578779,-1.3964224138135548,-0.6440736142062238
16,Idaho,Shock_2020_2022,-2.1350988375965105,0.5645105075490391,-0.9072668235599212,-0.1746690433562607
17,Illinois,Shock_2020_2022,1.9872262620894476,-1.309527824785999,-0.30802965067890614,0.4975220205684221
18,Indiana,Shock_2020_2022,-1.2129293554485892,-1.1328760457290572,1.1531655439055346,1.7963126694333653
19,Iowa,Shock_2020_2022,-1.2043090685510864,0.3229458557740107,0.7760548020440395,1.8765639191787853
20,Kansas,Shock_2020_2022,-0.8580476310368083,-0.21297379507635614,0.3439943768414178,0.598207711900534
21,Kentucky,Shock_2020_2022,-2.0980035814092104,-0.8165951761363098,0.5752409850403879,0.35368467348502586
