state_fips,state,period,real_gdp_per_capita,real_personal_income_per_capita_2017,real_output_per_job,real_average_wages_salaries_2017,manufacturing_share,professional_business_share,healthcare_share,log1p_natural_resources_agriculture_share
33,New Hampshire,Baseline_2015_2019,0.007544868932732122,0.670287603322503,-0.24401624250686454,0.09345824176881241,0.5149973355465122,-0.31040863077393605,-0.2848524992815767,-1.0437653821611765
34,New Jersey,Baseline_2015_2019,0.4580297021603652,1.1745615501612363,0.9101209755488844,1.2705699634991527,-0.786422220402926,1.309392095168673,-0.1592525157769296,-1.169651028363563
35,New Mexico,Baseline_2015_2019,-1.3226421343290966,-1.6963752738240663,-0.6777281168483349,-1.0490800894677852,-1.569791820294835,-0.05100555024210122,0.9215266143367629,1.8207631865620761
36,New York,Baseline_2015_2019,1.8760963099304981,1.0781076458587964,2.4068548366288676,2.054075787089393,-1.1553790483328141,0.3914215600236711,1.1110548852008995,-1.1427586854000367
37,North Carolina,Baseline_2015_2019,-0.5631657408145954,-1.1011518186805866,-0.2812949630843149,-0.4532405344627698,0.5763611726529276,0.44157390016611114,-0.608835874372586,-0.600342582286747
38,North Dakota,Baseline_2015_2019,1.3460660237689392,0.05854130220310543,0.1911749887900207,-0.418468159522493,-0.8004478172571151,-1.886246555771268,-0.016484714848190776,2.3679305723007733
39,Ohio,Baseline_2015_2019,-0.40749981106533945,-0.8730506533992209,-0.21359897787764756,-0.4462282755509493,1.1715068672123758,0.16949397616565354,0.5723945969044242,-0.8465032903633266
40,Oklahoma,Baseline_2015_2019,-0.9362782287427157,-1.0592029452088487,-0.8022192796142529,-0.9000213527717403,-0.0846907927801808,-0.4674719843984041,-0.794752889352147,1.607491666361481
41,Oregon,Baseline_2015_2019,-0.5228926360076868,-0.6735443926284381,-0.4683998832124537,-0.18915593148085283,0.3885289209636961,-0.025095101435326714,-0.3723870886506762,1.22976102202871
42,Pennsylvania,Baseline_2015_2019,-0.1589658455772353,-0.08752051477556691,0.14722654244166336,-0.06643768213738069,0.2730645635020865,0.2491931785254598,1.3570506270915796,-0.3713439547281054
44,Rhode Island,Baseline_2015_2019,-0.5161725258149595,-0.29621870611129736,-0.2857179515871411,-0.04778305459953136,-0.10070080118657247,0.26163665608551206,1.1751962933393005,-1.276434169121984
45,South Carolina,Baseline_2015_2019,-1.305977312008201,-1.3618013982461448,-1.0060671414819975,-1.0433185312941982,0.9064914011494615,0.2240250800176142,-1.103629059827343,-0.7390676020745568
46,South Dakota,Baseline_2015_2019,-0.04481658054846317,-0.35280521810755183,-0.7271300865698728,-1.4613996171986383,0.41448349419604824,-2.1498947046032484,0.6331802787679096,0.2732125274302957
47,Tennessee,Baseline_2015_2019,-0.6811944983774237,-1.0560930885903297,-0.5880832481089315,-0.6520105801930506,0.8565142221623581,0.2884531341839781,-0.6549365165464267,-1.0706542269067125
48,Texas,Baseline_2015_2019,0.02659299869836385,-0.513932925802528,0.19008294048499366,0.2661742468434279,-0.4505759911626113,0.3020288028827861,-0.9141287128779326,0.9423284636998858
49,Utah,Baseline_2015_2019,-0.4177386803969275,-1.2324144220421749,-0.6637897794892904,-0.7275083103973025,0.05323024113166228,0.4820442799092227,-1.8815105453515324,-0.21989589099924856
50,Vermont,Baseline_2015_2019,-0.8033001393689564,-0.32855076270443984,-1.4648768146460707,-1.0138782321820845,0.2606221353627584,-1.4592917171442825,1.2008919661790878,0.011917376737117817
51,Virginia,Baseline_2015_2019,0.0832401961375227,0.18979317735107837,0.20528968960437344,0.5592949726593537,-0.6878378436598698,2.3220302095685437,-1.279584501795731,-0.886797488233633
53,Washington,Baseline_2015_2019,1.0181184126536045,0.5340850285305427,1.6308869763004625,1.0758325187123312,0.0901660849286539,-0.31786474815653176,-0.5935158424834739,1.3715205898581428
54,West Virginia,Baseline_2015_2019,-1.672297101289524,-1.7748386276291304,-0.8056730290599315,-1.2984774380535462,-0.57457235476947,-1.2909958523181109,2.1631133801003877,1.4505678239985966
55,Wisconsin,Baseline_2015_2019,-0.4066233653031354,-0.5656042031381782,-0.5721866480354248,-0.6968615625234944,2.2129206211881134,-0.7351465557288274,-0.2624326801635346,-0.15708648208989395
56,Wyoming,Baseline_2015_2019,0.5797973587620915,0.5442786606730501,-0.06683522051489266,-0.7091814012762675,-1.5245369462343625,-2.497464192517807,-1.2851359767558914,3.1191613172256285
01,Alabama,Shock_2020_2022,-1.2634374767913745,-1.1322122333200033,-0.8485455456452652,-0.6753085203780694,1.3429910467493062,-0.1107065821463341,-0.6887710603701057,-0.3927524492382992
02,Alaska,Shock_2020_2022,0.8653720673627425,0.7371870021864954,1.3219325765191772,0.7741191652556167,-1.39461342582631,-1.6735143940179698,0.31340330570711183,1.658418979886745
04,Arizona,Shock_2020_2022,-0.5493502089866078,-0.3594096519546911,-0.020434944023875613,0.32181677675165465,-0.7377203211788718,0.7938419912475159,-0.48069411873366097,-0.072953170469276
